query_profile_index,method,rank,similarity_score,profile_id,age,sex,orientation,status,location,job,education,bio_preview
0,tfidf,1,0.0832,59337,43,m,straight,single,"san francisco, california",artistic / musical / writer,dropped out of space camp,"independent metal artist that knows a little about a lot and a lot about a little. i'm funny,playful,and kind.i have a great kid that i co-parent.i like fishing. i am a blacksmith/metalworker.i work at a shop with a bunc..."
0,tfidf,2,0.0775,55737,38,f,straight,single,"san francisco, california",,graduated from masters program,"i grew up in the midwest, my family now lives in upstate new york. i've been in san francisco for 6 years, which is the longest i've been in a place in the last 15 years. i used to be a television reporter and moved ever..."
0,tfidf,3,0.0754,4435,26,m,straight,single,"palo alto, california",banking / financial / real estate,graduated from college/university,"born and raised in the bay area, now living in half moon bay and working in burlingame. i enjoy traveling, ethnic foods (think those two go hand in hand), and running in the mud. i joined okc to meet interesting people (..."
0,tfidf,4,0.0749,3217,25,f,straight,single,"san francisco, california",sales / marketing / biz dev,graduated from college/university,"i just moved to the bay area after living in san diego for a long time. i'm excited for this new chapter in my life. i'm happy with life. i have a good job, healthy, my teeth are clean, and the sun is shinning. there is..."
0,tfidf,5,0.0719,51708,49,f,straight,single,"san francisco, california",education / academia,graduated from masters program,"i bring excitement, strength, and romance. my foundation lies in the strength of my heart, mind, and body. i am a mid-west kanzanian. i moved to san francisco thirteen years ago and have enjoyed every moment since. i lov..."
10,tfidf,1,0.1102,25267,55,m,straight,available,"san francisco, california",other,graduated from college/university,"searching for a woman who can appreciate my love of the perverse a connection on so many levels intellectual, cultural, emotional, physical... yes, i am a kinky man, educated and cultured. my distraction is sex that goes..."
10,tfidf,2,0.1054,678,24,m,straight,single,"san francisco, california",sales / marketing / biz dev,graduated from college/university,"i move around too much for the past 6 years, got friends all over but no stable group. finally settle in sf now hope things will get better~ make money so i can retire my family accepting can't find my eyes the curious c..."
10,tfidf,3,0.0947,6041,37,f,straight,single,"mill valley, california",sales / marketing / biz dev,graduated from college/university,"i have a funny kind of faith about life, or myself--hard to describe but i'm here to take the whole journey and love every minute of it. 5 yrs ago i put my stuff in storage and spent the last several years traveling and..."
10,tfidf,4,0.092,35360,44,m,straight,single,"richmond, california",artistic / musical / writer,graduated from two-year college,i just want to find love someone to love and someone to love me and with luck eventually meet someone to spend the rest of my life with. i mean it as a desire not as the only goal. i want to have fun too. i believe very...
10,tfidf,5,0.0897,4467,35,m,straight,single,"el sobrante, california",science / tech / engineering,graduated from college/university,"kudos to the strong women out there. women have this impossible image to uphold. in this world where image is everything, you're in an impossible balance between what people say you should do and what you want to do. wha..."
25,tfidf,1,0.118,28734,27,m,straight,single,"san francisco, california",science / tech / engineering,graduated from college/university,"moved to san franisco from austin and loving it here! enjoying it! making friends. i am very friendly and easy going. food, water, family, iphone, computer & friends (order can change depending on the day) what am i goin..."
25,tfidf,2,0.1178,6389,38,f,straight,single,"san francisco, california",medicine / health,graduated from college/university,"my eyes family friends coffee laughter my iphone travel hanging with friends, cooking dinner together or at a restaurant."
25,tfidf,3,0.1161,12185,19,f,bisexual,single,"san francisco, california",other,dropped out of college/university,born and raised in california. i don't see myself living anywhere else in the states. i find that there is not much in this world which brings me peace of mind and body like the river i grew up on. i'm a dog lover and a...
25,tfidf,4,0.1063,47397,32,m,straight,single,"san francisco, california",science / tech / engineering,graduated from masters program,i'm an outdoor enthusiast who loves food and always up for fun activities. focus most my energy on playing and enjoying life. working as an engineer by day and figuring out how to start my entrepreneurial adventures by n...
25,tfidf,5,0.1042,39872,24,m,straight,single,"san francisco, california",artistic / musical / writer,graduated from college/university,"i'm a weird guy from los angeles. i went to art school in rhode island, and now spend my time working in both los angeles and san francisco. great story, right? i work in the art department on feature films. eating, drin..."
0,sbert,1,0.5918,59384,35,f,straight,single,"mill valley, california",medicine / health,graduated from college/university,"i love sunshine, hikes in the hills, running on a soccer field, being grounded, time with friends, teaching, cooking, laughing, bringing people together, watching movies, traveling to places far and near. spiritual growt..."
0,sbert,2,0.5733,22138,23,f,gay,single,"oakland, california",other,working on college/university,"i like to: drink wine, play games, sing in the car, move my body, sleep, be outside, journal, go places, love, go to concerts, ride roller coasters, cook, hike, dance, savor, embellish, dote upon, enjoy... i care about:..."
0,sbert,3,0.5517,55510,35,f,straight,single,"oakland, california",education / academia,graduated from masters program,"i love oaktown! i love the diversity, the history, lake merritt, and lakeshore farmer's market. i love learning. i love walking out into the sunshine, sitting on the grass and thinking or reading a book. i love the thing..."
0,sbert,4,0.5374,6409,30,f,straight,single,"san francisco, california",political / government,working on masters program,self-actualizing? not yet! but thinking about it. :) moving to san francisco from philly in july! working- one of my favorite parts about work is that i train people who are at their turning points in life on storytellin...
0,sbert,5,0.5348,40223,37,m,straight,single,"alameda, california",other,graduated from two-year college,"i am a fun veggie eating, fruit loving nut. i like nuts too - the people kind and the tree kind. a cool head on my shoulders (maybe cause my hair is short and i don't wear a hat) and an ever thinking mind behind always s..."
10,sbert,1,0.6037,15462,48,m,straight,single,"richmond, california",computer / hardware / software,graduated from college/university,"i'm looking for a loving, long-term, rocking romp of a ride through life with a woman who has her own point of view on the world, but not rigidly defined. i'm open to women of many shapes and sizes, religions and philoso..."
10,sbert,2,0.5744,50781,53,f,straight,single,"san mateo, california",,,"well let's see....i am a self confident woman, but not arrogant. i am genuine and giving with my emotions and have a very big and kind heart. being middle eastern, i know how to treat a man well - and look forward to tha..."
10,sbert,3,0.5727,35446,25,f,bisexual,seeing someone,"berkeley, california",student,working on college/university,"note: i'm in a serious relationship, but i'm always thrilled to meet potential friends or pen pals. if you have something you'd like to talk about or you're just bored and errant, i'm all ears and babbles. are you sure y..."
10,sbert,4,0.5676,24582,19,m,gay,single,"san francisco, california",other,working on college/university,"just someone to kiss good morning and good night! mope around on the couch all day watching movies? snuggling in sheets together sounds just fine to me. i love the beach and exploring, take a stroll and tell me all about..."
10,sbert,5,0.5662,55463,62,m,straight,single,"redwood city, california",sales / marketing / biz dev,graduated from two-year college,it's very difficult to describe and define yourself in a few short sentences but i've read enough of other profiles to know that we are all saying the same thing in a variety of different ways. the on going search for th...
25,sbert,1,0.6046,6389,38,f,straight,single,"san francisco, california",medicine / health,graduated from college/university,"my eyes family friends coffee laughter my iphone travel hanging with friends, cooking dinner together or at a restaurant."
25,sbert,2,0.5989,54400,27,m,straight,single,"san francisco, california",law / legal services,graduated from college/university,"gift giving, making a mess of the kitchen, cleaning up, relaxing, trip-planning, cooking breakfast, listening, laughing and making lists of what i am really good at. today's favorites: book- the power of one movie- tropi..."
25,sbert,3,0.5653,48359,31,f,straight,single,"san mateo, california",,graduated from college/university,friends family my dog running shoes music reasons to eat good food and alcohol with good company @ eating/drinking with friends at various venues @ home watching a rented movie with my dog
25,sbert,4,0.5647,56950,28,f,straight,single,"san francisco, california",sales / marketing / biz dev,graduated from college/university,"my eyes and rapier wit. sweet tea, the internet, paper & pencil, my family, indian food. the ultimate answer to the ultimate question of life, the universe, and everything relaxing in my pj's with my ipad, unwinding from..."
25,sbert,5,0.5529,10025,20,f,straight,single,"south san francisco, california",other,working on med school,"smile :) having fun multi-tasking hmm, probably my hair. i like rap, hip-hop and r&b. i love trying new kinds of foods but for now my favorite kind of food is filipino food. family, friends, my dogs, a brush, cellphone,..."
